time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
94.998000,-1.746876,-0.252835,-1.418655,-1.358860,-0.286774,0.069531,-1.315004,0.680470,0.591634,-1.260519,-1.259243,train
95.498000,-1.222092,0.441601,-0.860637,-1.746876,-0.252835,-1.418655,-1.358860,-0.286774,0.069531,-1.448133,-1.445984,train
95.998000,-1.440453,-0.759864,-0.061368,-1.222092,0.441601,-0.860637,-1.746876,-0.252835,-1.418655,-0.885157,-0.885992,train
96.498000,-1.303462,-0.998798,0.389755,-1.440453,-0.759864,-0.061368,-1.222092,0.441601,-0.860637,-0.460057,-0.462384,train
96.998000,-1.319435,-1.500403,0.997043,-1.303462,-0.998798,0.389755,-1.440453,-0.759864,-0.061368,-0.381392,-0.380566,train
97.498000,-1.249663,-1.387706,0.466208,-1.319435,-1.500403,0.997043,-1.303462,-0.998798,0.389755,-0.490448,-0.489829,train
97.998000,-1.352668,-1.216297,-0.058716,-1.249663,-1.387706,0.466208,-1.319435,-1.500403,0.997043,-1.198736,-1.194856,train
98.498000,-1.465305,-1.080588,-0.369574,-1.352668,-1.216297,-0.058716,-1.249663,-1.387706,0.466208,-2.054579,-2.049787,train
98.998000,-1.569364,-1.333136,-0.266183,-1.465305,-1.080588,-0.369574,-1.352668,-1.216297,-0.058716,-1.711793,-1.711686,train
99.498000,-1.575419,-1.724817,-0.549141,-1.569364,-1.333136,-0.266183,-1.465305,-1.080588,-0.369574,-1.494169,-1.493876,train
99.998000,0.717858,-0.431269,1.334457,-1.575419,-1.724817,-0.549141,-1.569364,-1.333136,-0.266183,0.871412,0.861711,train
100.498000,0.952324,0.720749,1.093160,0.717858,-0.431269,1.334457,-1.575419,-1.724817,-0.549141,1.012276,1.013338,train
